,D,P,mode,ppn,time,"(P, ppn)"
150,16.0,4.0,0.0,8.0,0.227834,"(4.0, 8.0)"
151,16.0,4.0,1.0,8.0,0.490337,"(4.0, 8.0)"
152,256.0,4.0,0.0,8.0,0.402791,"(4.0, 8.0)"
153,256.0,4.0,1.0,8.0,0.567759,"(4.0, 8.0)"
154,2048.0,4.0,0.0,8.0,1.788577,"(4.0, 8.0)"
155,2048.0,4.0,1.0,8.0,2.034074,"(4.0, 8.0)"
156,16.0,16.0,0.0,1.0,0.550145,"(16.0, 1.0)"
157,16.0,16.0,1.0,1.0,0.617929,"(16.0, 1.0)"
158,256.0,16.0,0.0,1.0,0.44004,"(16.0, 1.0)"
159,256.0,16.0,1.0,1.0,0.509232,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,6.444674,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,9.499656,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,2.13432,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,1.323961,"(16.0, 8.0)"
164,256.0,16.0,0.0,8.0,1.984472,"(16.0, 8.0)"
165,256.0,16.0,1.0,8.0,1.809488,"(16.0, 8.0)"
166,2048.0,16.0,0.0,8.0,3.96568,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,4.081539,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.022965,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.030109,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.04137,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.057647,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.231647,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.360228,"(4.0, 1.0)"
174,16.0,4.0,0.0,8.0,0.183057,"(4.0, 8.0)"
175,16.0,4.0,1.0,8.0,0.331982,"(4.0, 8.0)"
176,256.0,4.0,0.0,8.0,0.600922,"(4.0, 8.0)"
177,256.0,4.0,1.0,8.0,0.631104,"(4.0, 8.0)"
178,2048.0,4.0,0.0,8.0,1.808456,"(4.0, 8.0)"
179,2048.0,4.0,1.0,8.0,2.046977,"(4.0, 8.0)"
180,16.0,16.0,0.0,1.0,0.078937,"(16.0, 1.0)"
181,16.0,16.0,1.0,1.0,0.119011,"(16.0, 1.0)"
182,256.0,16.0,0.0,1.0,0.586039,"(16.0, 1.0)"
183,256.0,16.0,1.0,1.0,0.693524,"(16.0, 1.0)"
184,2048.0,16.0,0.0,1.0,13.553341,"(16.0, 1.0)"
185,2048.0,16.0,1.0,1.0,19.899326,"(16.0, 1.0)"
186,16.0,16.0,0.0,8.0,1.423208,"(16.0, 8.0)"
187,16.0,16.0,1.0,8.0,0.53797,"(16.0, 8.0)"
188,256.0,16.0,0.0,8.0,3.354533,"(16.0, 8.0)"
189,256.0,16.0,1.0,8.0,2.703629,"(16.0, 8.0)"
190,2048.0,16.0,0.0,8.0,2.895972,"(16.0, 8.0)"
191,2048.0,16.0,1.0,8.0,2.789799,"(16.0, 8.0)"
192,16.0,4.0,0.0,1.0,0.008784,"(4.0, 1.0)"
193,16.0,4.0,1.0,1.0,0.009222,"(4.0, 1.0)"
194,256.0,4.0,0.0,1.0,0.104862,"(4.0, 1.0)"
