,D,P,mode,ppn,time,"(P, ppn)"
217,16.0,4.0,1.0,1.0,0.004242,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.01846,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.036826,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.136336,"(4.0, 1.0)"
221,2048.0,4.0,1.0,1.0,0.123468,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.012691,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.016123,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,1.020489,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.754726,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,2.705552,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,1.641945,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,6.396875,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,5.565934,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,4.09272,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,4.041642,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,1.2272,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,2.103763,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,1.025327,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,2.208377,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,2.498202,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,10.855458,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,11.854459,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,42.774127,"(16.0, 8.0)"
